id;title;content;difficulty_level
1;deficient;../fake-data/blob/hipster.txt;24716
2;traduce rarely;../fake-data/blob/hipster.txt;20945
3;owlishly;../fake-data/blob/hipster.txt;191
4;closely digestive times;../fake-data/blob/hipster.txt;15796
5;yum lighthearted behest;../fake-data/blob/hipster.txt;30719
6;floodlight aha;../fake-data/blob/hipster.txt;26774
7;mmm near whopping;../fake-data/blob/hipster.txt;17388
8;astonishing upside-down;../fake-data/blob/hipster.txt;10120
9;considering sew;../fake-data/blob/hipster.txt;13992
10;so;../fake-data/blob/hipster.txt;24923
