id;student_id;score;status;completed_at
1;25030;30279;sugary regal frightfully;2025-12-06T05:50:15
2;4083;896;but around;2025-12-06T01:19:16
3;7223;21339;respray scornful forenenst;2025-12-05T18:30:50
4;2767;24636;beloved fuel;2025-12-06T07:17:46
5;16093;10543;than;2025-12-06T09:54:55
6;7992;20135;jaunty;2025-12-06T06:36:06
7;14060;23802;eek talkative;2025-12-05T13:02:31
8;5561;24969;wholly gestate importance;2025-12-05T22:27:18
9;32479;16803;cafe pant;2025-12-05T23:33:50
10;29832;16930;emboss;2025-12-06T09:54:20
